id_respondiente,area,regimen,d1_act_a,d1_act_b,d1_act_c,d1_act_d,d1_des_a,d1_des_b,d1_des_c,d1_des_d,d2_act_a,d2_act_b,d2_act_c,d2_act_d,d2_des_a,d2_des_b,d2_des_c,d2_des_d,d3_act_a,d3_act_b,d3_act_c,d3_act_d,d3_des_a,d3_des_b,d3_des_c,d3_des_d,d4_act_a,d4_act_b,d4_act_c,d4_act_d,d4_des_a,d4_des_b,d4_des_c,d4_des_d,d5_act_a,d5_act_b,d5_act_c,d5_act_d,d5_des_a,d5_des_b,d5_des_c,d5_des_d,d6_act_a,d6_act_b,d6_act_c,d6_act_d,d6_des_a,d6_des_b,d6_des_c,d6_des_d
R011,GGT,CAS,19,8,35,38,26,27,28,19,16,8,35,41,30,31,25,14,11,7,37,45,26,24,23,27,16,13,33,38,26,26,28,20,18,11,37,34,30,24,23,23,12,12,33,43,30,24,29,17
R012,GGT,D.L. 728,19,8,37,36,24,24,25,27,16,13,31,40,27,27,28,18,14,12,32,42,27,32,29,12,17,11,33,39,25,26,29,20,13,10,31,46,24,29,29,18,17,13,34,36,26,26,29,19
R013,GGT,CAS,17,13,31,39,29,27,24,20,18,9,35,38,25,27,23,25,14,10,36,40,26,25,29,20,15,9,39,37,28,32,25,15,11,7,35,47,24,28,23,25,12,11,37,40,27,29,26,18
R014,OGAF,CAS,20,11,21,48,30,24,20,26,20,7,26,47,34,27,17,22,20,7,23,50,31,25,20,24,18,11,22,49,32,29,18,21,18,11,20,51,29,30,20,21,20,12,20,48,30,30,19,21
R015,OGAF,CAS,18,9,21,52,32,29,18,21,21,10,21,58,34,31,21,14,16,12,19,53,30,32,20,18,19,7,21,53,30,27,21,22,17,8,18,57,26,27,18,29,15,10,24,51,29,30,18,23
R016,OGAF,Locador,17,8,18,57,27,30,16,27,16,13,26,45,33,24,19,24,17,13,19,51,33,26,21,20,21,12,26,41,34,29,21,16,21,11,26,42,32,32,18,18,16,12,25,47,33,28,21,18
R017,OGAF,D.L. 276 Nombrado,18,13,26,43,33,27,17,23,21,7,22,50,29,28,17,26,19,11,19,51,28,26,16,30,20,12,20,48,29,25,18,28,20,9,26,45,33,30,15,22,17,13,24,46,32,24,21,23
R018,OGAF,Locador,21,7,23,49,30,30,21,19,20,11,26,43,29,31,16,24,18,10,25,47,26,30,17,27,20,12,20,48,33,26,19,22,22,7,24,47,26,25,20,29,20,8,25,47,28,24,17,31
R019,OGAF,Locador,19,8,25,48,31,29,21,19,20,9,24,47,30,25,18,27,14,12,26,48,26,29,16,29,15,13,18,54,26,27,16,31,14,11,20,55,29,26,18,27,15,11,21,53,33,28,21,18
R020,OGAF,D.L. 728,16,11,19,54,28,28,15,29,14,9,24,53,32,27,15,26,17,7,22,54,27,24,17,32,22,10,23,45,27,32,20,21,19,7,24,50,33,25,18,24,19,12,25,44,28,30,16,26
R021,OGACGD,D.L. 728,24,15,26,35,35,40,15,10,20,11,22,47,29,38,12,21,19,15,26,40,34,39,9,18,23,15,24,38,30,41,10,19,21,15,23,41,33,38,13,16,20,13,19,48,36,37,9,18
R022,OGACGD,D.L. 276 Nombrado,22,12,27,39,31,41,14,14,23,12,19,46,29,38,10,23,22,14,22,42,32,39,12,17,24,13,24,39,34,42,11,13,21,14,26,39,32,38,11,19,19,9,22,50,33,35,14,18
R023,OGACGD,D.L. 276 Nombrado,19,10,26,45,32,42,13,13,20,9,22,49,32,37,11,20,18,11,19,52,36,36,11,17,16,9,27,48,32,36,14,18,23,9,19,49,32,41,12,15,23,11,21,45,28,38,15,19
R024,OGACGD,Locador,17,15,20,48,34,41,9,16,16,10,21,53,32,35,10,23,17,13,25,45,31,42,12,15,23,12,23,42,34,38,13,15,16,13,20,51,21,37,11,21,17,10,22,51,30,42,9,19
R025,OGACGD,D.L. 276 Nombrado,16,12,26,46,35,38,9,18,19,11,23,47,35,35,14,16,19,11,22,48,34,35,13,18,19,14,21,46,32,36,9,23,16,10,23,51,32,41,9,18,23,14,23,40,34,38,13,15
R026,OGACGD,Locador,23,9,19,49,34,39,13,14,20,9,20,51,31,34,15,20,20,13,19,48,30,41,13,16,23,11,21,45,34,41,9,16,23,11,25,41,33,39,14,14,17,15,21,47,33,40,14,13
R027,GTPSC,Locador,16,13,35,36,31,23,24,22,13,10,33,44,28,24,27,21,18,14,37,31,23,31,24,22,18,8,32,42,31,28,25,16,19,13,36,32,23,26,23,28,20,9,33,38,30,30,21,19
R028,GTPSC,CAS,15,13,31,41,27,31,21,21,20,11,30,39,26,24,24,26,13,13,31,43,30,27,25,18,16,11,36,37,30,26,24,20,20,9,35,36,26,31,26,17,14,14,30,42,27,29,23,21
R029,GTPSC,D.L. 728,12,10,33,45,30,25,24,21,20,11,34,35,28,31,27,14,20,11,36,33,28,26,26,20,15,12,35,38,26,29,21,24,17,13,36,34,29,29,26,16,14,11,29,46,25,31,25,19
R030,GTPSC,D.L. 728,13,14,36,37,24,31,24,21,12,13,31,44,29,25,21,25,19,14,33,34,28,29,26,17,13,14,34,39,31,29,23,17,19,14,37,30,23,24,22,31,16,9,30,45,29,24,27,20
R031,GTPSC,CAS,19,9,38,39,23,23,23,31,12,10,34,44,28,29,22,21,15,12,35,38,25,25,22,28,13,12,35,40,26,30,25,19,14,9,36,41,27,30,23,20,12,14,36,38,27,31,22,20
R032,GTPSC,CAS,19,10,33,38,29,27,24,20,16,9,35,40,30,24,22,24,18,12,34,36,27,27,21,25,18,10,29,43,23,30,27,20,16,14,32,38,28,26,26,20,15,12,33,40,25,24,26,25
R033,OGPPMI,CAS,18,17,28,37,26,39,18,17,16,11,25,48,31,40,14,15,17,12,29,42,31,42,17,10,18,17,23,42,30,41,19,10,18,16,26,40,27,41,13,19,16,17,24,43,32,42,15,11
R034,OGPPMI,CAS,20,11,25,44,34,35,16,15,19,16,25,40,32,39,13,16,17,14,21,48,34,39,17,10,17,16,22,45,33,38,18,11,20,11,23,46,26,34,15,25,21,11,22,46,29,42,14,15
R035,OGPPMI,Locador,21,13,29,37,32,36,16,16,15,17,28,40,32,38,13,17,19,12,28,41,33,37,19,11,19,11,26,44,34,39,13,14,20,13,24,43,27,41,13,19,17,16,21,46,26,39,14,21
